,Area,Element,Year,Unit,Value,Flag,Flag Description
0,Pakistan,Value,2000,%,42.1,X,International reliable sources
1,Pakistan,Value,2000,%,,X,International reliable sources
2,Pakistan,Value,2000,%,4.8,X,International reliable sources
3,Pakistan,Value,2001,%,42.4,X,International reliable sources
4,Pakistan,Value,2001,%,14.1,X,International reliable sources
5,Pakistan,Value,2001,%,4.9,X,International reliable sources
6,Pakistan,Value,2002,%,42.8,X,International reliable sources
7,Pakistan,Value,2002,%,,X,International reliable sources
8,Pakistan,Value,2002,%,5.0,X,International reliable sources
9,Pakistan,Value,2003,%,43.2,X,International reliable sources
10,Pakistan,Value,2003,%,,X,International reliable sources
11,Pakistan,Value,2003,%,5.1,X,International reliable sources
12,Pakistan,Value,2004,%,43.6,X,International reliable sources
13,Pakistan,Value,2004,%,,X,International reliable sources
14,Pakistan,Value,2004,%,5.1,X,International reliable sources
15,Pakistan,Value,2005,%,43.8,X,International reliable sources
16,Pakistan,Value,2005,%,,X,International reliable sources
17,Pakistan,Value,2005,%,5.1,X,International reliable sources
18,Pakistan,Value,2006,%,44.1,X,International reliable sources
19,Pakistan,Value,2006,%,,X,International reliable sources
20,Pakistan,Value,2006,%,5.1,X,International reliable sources
21,Pakistan,Value,2007,%,44.2,X,International reliable sources
22,Pakistan,Value,2007,%,,X,International reliable sources
23,Pakistan,Value,2007,%,5.1,X,International reliable sources
24,Pakistan,Value,2008,%,44.4,X,International reliable sources
25,Pakistan,Value,2008,%,,X,International reliable sources
26,Pakistan,Value,2008,%,5.0,X,International reliable sources
27,Pakistan,Value,2009,%,44.3,X,International reliable sources
28,Pakistan,Value,2009,%,,X,International reliable sources
29,Pakistan,Value,2009,%,5.0,X,International reliable sources
30,Pakistan,Value,2010,%,44.2,X,International reliable sources
31,Pakistan,Value,2010,%,,X,International reliable sources
32,Pakistan,Value,2010,%,4.9,X,International reliable sources
33,Pakistan,Value,2011,%,43.8,X,International reliable sources
34,Pakistan,Value,2011,%,14.9,X,International reliable sources
35,Pakistan,Value,2011,%,4.8,X,International reliable sources
36,Pakistan,Value,2012,%,43.4,X,International reliable sources
37,Pakistan,Value,2012,%,,X,International reliable sources
38,Pakistan,Value,2012,%,4.6,X,International reliable sources
39,Pakistan,Value,2013,%,42.8,X,International reliable sources
40,Pakistan,Value,2013,%,10.5,X,International reliable sources
41,Pakistan,Value,2013,%,4.5,X,International reliable sources
42,Pakistan,Value,2014,%,42.1,X,International reliable sources
43,Pakistan,Value,2014,%,,X,International reliable sources
44,Pakistan,Value,2014,%,4.3,X,International reliable sources
45,Pakistan,Value,2015,%,41.3,X,International reliable sources
46,Pakistan,Value,2015,%,,X,International reliable sources
47,Pakistan,Value,2015,%,4.2,X,International reliable sources
48,Pakistan,Value,2016,%,40.4,X,International reliable sources
49,Pakistan,Value,2016,%,,X,International reliable sources
50,Pakistan,Value,2016,%,4.0,X,International reliable sources
51,Pakistan,Value,2017,%,39.4,X,International reliable sources
52,Pakistan,Value,2017,%,,X,International reliable sources
53,Pakistan,Value,2017,%,3.9,X,International reliable sources
54,Pakistan,Value,2018,%,38.5,X,International reliable sources
55,Pakistan,Value,2018,%,7.1,X,International reliable sources
56,Pakistan,Value,2018,%,3.7,X,International reliable sources
57,Pakistan,Value,2019,%,37.5,X,International reliable sources
58,Pakistan,Value,2019,%,,X,International reliable sources
59,Pakistan,Value,2019,%,3.6,X,International reliable sources
60,Pakistan,Value,2020,%,36.7,X,International reliable sources
61,Pakistan,Value,2020,%,,X,International reliable sources
62,Pakistan,Value,2020,%,3.4,X,International reliable sources
63,Pakistan,Value,2021,%,,X,International reliable sources
64,Pakistan,Value,2021,%,,X,International reliable sources
65,Pakistan,Value,2021,%,,X,International reliable sources
