Ticker,Name,,,,
AAPL,Apple Inc. Common Stock,,,,
ABNB,"Airbnb, Inc. Class A Common Stock",,,,
ADBE,Adobe Inc. Common Stock,,,,
ADI,"Analog Devices, Inc. Common Stock",,,,
ADP,"Automatic Data Processing, Inc. Common Stock",,,,
ADSK,"Autodesk, Inc. Common Stock",,,,
AEP,"American Electric Power Company, Inc. Common Stock",,,,
AMAT,"Applied Materials, Inc. Common Stock",,,,
AMD,"Advanced Micro Devices, Inc. Common Stock",,,,
AMGN,Amgen Inc. Common Stock,,,,
AMZN,"Amazon.com, Inc. Common Stock",,,,
ANSS,"ANSYS, Inc. Common Stock",,,,
ASML,ASML Holding N.V. New York Registry Shares,,,,
AVGO,Broadcom Inc. Common Stock,,,,
AZN,AstraZeneca PLC American Depositary Shares,,,,
BIIB,Biogen Inc. Common Stock,,,,
BKNG,Booking Holdings Inc. Common Stock,,,,
BKR,Baker Hughes Company Class A Common Stock,,,,
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,,,,
CDNS,"Cadence Design Systems, Inc. Common Stock",,,,
CDW,CDW Corporation Common Stock,,,,
CEG,Constellation Energy Corporation Common Stock,,,,
CHTR,"Charter Communications, Inc. Class A Common Stock New",,,,
CMCSA,Comcast Corporation Class A Common Stock,,,,
COST,Costco Wholesale Corporation Common Stock,,,,
CPRT,"Copart, Inc. (DE) Common Stock",,,,
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",,,,
CSCO,"Cisco Systems, Inc. Common Stock (DE)",,,,
CSGP,"CoStar Group, Inc. Common Stock",,,,
CSX,CSX Corporation Common Stock,,,,
CTAS,Cintas Corporation Common Stock,,,,
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,,,,
DASH,"DoorDash, Inc. Class A Common Stock",,,,
DDOG,"Datadog, Inc. Class A Common Stock",,,,
DLTR,Dollar Tree Inc. Common Stock,,,,
DXCM,"DexCom, Inc. Common Stock",,,,
EA,Electronic Arts Inc. Common Stock,,,,
EXC,Exelon Corporation Common Stock,,,,
FANG,"Diamondback Energy, Inc. Common Stock",,,,
FAST,Fastenal Company Common Stock,,,,
FTNT,"Fortinet, Inc. Common Stock",,,,
GEHC,GE HealthCare Technologies Inc. Common Stock,,,,
GFS,GlobalFoundries Inc. Ordinary Shares,,,,
GILD,"Gilead Sciences, Inc. Common Stock",,,,
GOOG,Alphabet Inc. Class C Capital Stock,,,,
GOOGL,Alphabet Inc. Class A Common Stock,,,,
HON,Honeywell International Inc. Common Stock,,,,
IDXX,"IDEXX Laboratories, Inc. Common Stock",,,,
ILMN,"Illumina, Inc. Common Stock",,,,
INTC,Intel Corporation Common Stock,,,,
INTU,Intuit Inc. Common Stock,,,,
ISRG,"Intuitive Surgical, Inc. Common Stock",,,,
KDP,Keurig Dr Pepper Inc. Common Stock,,,,
KHC,The Kraft Heinz Company Common Stock,,,,
KLAC,KLA Corporation Common Stock,,,,
LIN,Linde plc Ordinary Shares,,,,
LRCX,Lam Research Corporation Common Stock,,,,
LULU,lululemon athletica inc. Common Stock,,,,
MAR,Marriott International Class A Common Stock,,,,
MCHP,Microchip Technology Incorporated Common Stock,,,,
MDB,"MongoDB, Inc. Class A Common Stock",,,,
MDLZ,"Mondelez International, Inc. Class A Common Stock",,,,
MELI,"MercadoLibre, Inc. Common Stock",,,,
META,"Meta Platforms, Inc. Class A Common Stock",,,,
MNST,Monster Beverage Corporation,,,,
MRNA,"Moderna, Inc. Common Stock",,,,
MRVL,"Marvell Technology, Inc. Common Stock",,,,
MSFT,Microsoft Corporation Common Stock,,,,
MU,"Micron Technology, Inc. Common Stock",,,,
NFLX,"Netflix, Inc. Common Stock",,,,
NVDA,NVIDIA Corporation Common Stock,,,,
NXPI,NXP Semiconductors N.V. Common Stock,,,,
ODFL,"Old Dominion Freight Line, Inc. Common Stock",,,,
ON,ON Semiconductor Corporation Common Stock,,,,
ORLY,"O'Reilly Automotive, Inc. Common Stock",,,,
PANW,"Palo Alto Networks, Inc. Common Stock",,,,
PAYX,"Paychex, Inc. Common Stock",,,,
PCAR,PACCAR Inc. Common Stock,,,,
PDD,PDD Holdings Inc. American Depositary Shares,,,,
PEP,"PepsiCo, Inc. Common Stock",,,,
PYPL,"PayPal Holdings, Inc. Common Stock",,,,
QCOM,QUALCOMM Incorporated Common Stock,,,,
REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",,,,
ROP,"Roper Technologies, Inc. Common Stock",,,,
ROST,"Ross Stores, Inc. Common Stock",,,,
SBUX,Starbucks Corporation Common Stock,,,,
SIRI,Sirius XM Holdings Inc. Common Stock,,,,
SNPS,"Synopsys, Inc. Common Stock",,,,
TEAM,Atlassian Corporation Class A Common Stock,,,,
TMUS,"T-Mobile US, Inc. Common Stock",,,,
TSLA,"Tesla, Inc. Common Stock",,,,
TTD,"The Trade Desk, Inc. Class A Common Stock",,,,
TTWO,"Take-Two Interactive Software, Inc. Common Stock",,,,
TXN,Texas Instruments Incorporated Common Stock,,,,
VRSK,"Verisk Analytics, Inc. Common Stock",,,,
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,,,,
WBA,"Walgreens Boots Alliance, Inc. Common Stock",,,,
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",,,,
WDAY,"Workday, Inc. Class A Common Stock",,,,
XEL,Xcel Energy Inc. Common Stock,,,,
ZS,"Zscaler, Inc. Common Stock",,,,
